V1;V2;V3;V4;V5;V6
1;1;1;0;1;1
1;0;0;0;0;0
1;1;1;0;0;0
1;2;1;1;1;1
1;2;2;1;1;0
1;0;0;0;0;0
1;0;0;0;0;0
1;0;1;0;0;0
1;2;2;2;0;0
1;0;0;0;0;0
1;1;1;0;0;0
1;1;1;0;0;0
1;1;0;0;0;0
1;0;1;1;0;0
1;1;0;0;0;0
1;0;0;0;0;0
1;0;1;1;0;1
1;1;0;0;0;0
1;0;0;0;0;0
1;1;0;0;0;0
1;2;1;0;0;0
1;2;0;0;0;0
1;1;0;0;0;0
1;0;0;0;1;1
1;0;0;0;0;0
1;1;0;0;0;0
1;1;0;0;0;0
1;0;0;1;1;0
1;0;1;0;0;1
1;0;0;1;0;0
1;1;1;0;1;0
1;0;0;0;0;0
1;0;0;2;0;1
1;1;0;0;0;0
1;0;0;0;0;0
1;2;0;0;0;0
1;1;0;0;0;0
1;0;1;1;2;0
1;0;0;0;0;0
1;0;0;0;0;0
1;0;0;0;0;0
1;0;2;0;1;1
1;2;1;0;0;0
1;2;0;0;0;0
1;0;2;0;0;0
1;2;0;0;0;0
1;0;0;0;0;0
1;0;0;0;0;0
1;0;0;0;0;0
1;1;1;1;0;0
1;0;0;0;0;0
1;0;0;0;0;0
1;0;0;0;0;0
1;0;1;0;0;0
1;0;0;0;0;0
1;1;0;0;0;0
1;1;0;0;0;0
1;0;0;0;0;0
1;0;0;0;0;0
1;1;0;0;0;0
1;1;0;0;0;0
1;0;1;0;0;0
1;1;1;0;0;1
1;0;1;2;0;0
1;0;1;0;0;0
1;1;0;0;0;0
1;1;1;0;0;0
1;0;0;0;0;0
1;2;1;0;0;0
1;0;0;0;0;0
1;0;2;0;1;0
1;0;0;0;0;0
1;0;0;0;1;1
1;0;0;0;0;0
1;1;0;0;0;0
1;0;1;1;2;0
1;1;0;1;1;0
1;0;0;0;0;0
1;0;1;0;0;0
1;0;0;0;1;0
1;0;0;0;0;0
1;0;0;0;0;0
1;0;0;0;0;0
1;0;0;0;0;0
1;1;0;0;0;0
1;0;0;0;0;0
1;0;0;0;0;0
1;2;1;0;0;0
1;0;0;0;0;0
1;0;0;0;0;0
1;0;1;1;0;0
1;0;1;0;0;0
1;0;0;0;0;0
1;1;0;0;0;0
1;1;0;0;0;0
1;0;1;0;0;0
1;1;0;0;0;0
1;1;0;0;0;0
1;1;0;0;0;0
1;0;1;1;1;0
0;1;0;0;0;0
0;1;0;0;0;0
0;1;0;0;0;0
0;1;0;0;1;1
0;1;1;2;0;0
0;1;2;0;0;0
0;1;0;0;0;1
0;1;0;2;0;2
0;1;1;1;0;1
0;1;2;1;0;1
0;1;0;0;0;0
0;1;0;1;0;0
0;1;1;0;0;0
0;1;1;0;0;0
0;1;1;1;1;1
0;1;0;0;0;0
0;1;2;1;0;0
0;1;0;0;0;0
0;1;1;1;0;0
0;1;0;0;0;0
0;1;2;0;0;0
0;1;1;0;0;0
0;1;1;1;1;0
0;1;2;1;0;0
0;1;1;1;0;0
0;1;0;0;0;0
0;1;1;0;0;0
0;1;0;0;0;0
0;1;0;0;0;0
0;1;0;0;2;0
0;1;1;0;0;1
0;1;0;1;0;0
0;1;1;1;0;1
0;1;0;0;0;0
0;1;0;0;0;0
0;1;1;1;1;0
0;1;1;0;0;0
0;1;0;1;1;2
0;1;0;0;0;0
0;1;2;0;0;1
0;1;1;1;1;1
0;1;0;0;0;0
0;1;1;1;0;1
0;1;1;0;1;1
0;1;1;1;1;0
0;1;0;0;0;0
0;1;1;0;0;0
0;1;0;0;0;0
0;1;1;1;1;0
0;1;2;0;0;0
0;1;0;0;0;0
0;1;0;0;0;0
0;1;1;1;0;0
0;1;1;0;1;0
0;1;1;1;1;0
0;1;0;0;0;0
0;1;0;1;0;1
0;1;0;1;0;0
0;1;0;1;1;1
0;1;0;2;0;0
0;1;0;1;0;0
0;1;0;0;0;0
0;1;0;0;0;0
0;1;1;0;0;0
0;1;0;0;0;0
0;1;0;1;1;0
0;1;0;1;0;0
0;1;0;1;2;0
0;1;0;0;0;0
0;1;1;0;0;0
0;1;1;1;1;0
0;1;1;0;2;0
0;1;0;0;1;1
0;1;1;0;0;0
0;1;0;0;0;0
0;1;1;1;0;1
0;1;0;0;0;0
0;1;0;0;0;0
0;1;0;0;0;0
0;1;2;1;1;0
0;1;1;0;1;1
0;1;1;1;0;0
0;1;0;1;1;1
0;1;2;0;0;0
0;1;1;2;0;1
0;1;0;0;0;0
0;1;0;1;0;0
0;1;0;0;0;0
0;1;2;0;0;0
0;1;0;0;0;0
0;1;2;1;0;1
0;1;1;2;0;0
0;1;1;0;0;0
0;1;1;1;1;1
0;1;0;0;0;0
0;1;1;1;0;0
